Timestamp_ms,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ
52598, -358, 122, 144, -888, -248, 15300
52608, -351, 141, 115, -796, -264, 15204
52618, -335, 114, 134, -872, -192, 15192
52628, -332, 136, 134, -852, -304, 15204
52638, -349, 127, 124, -824, -300, 15216
52648, -366, 107, 117, -796, -116, 15216
52658, -342, 145, 113, -940, -248, 15300
52668, -329, 125, 131, -892, -232, 15108
52678, -333, 120, 128, -852, -136, 15224
52688, -350, 124, 141, -908, -188, 15208
52698, -350, 128, 141, -860, -196, 15068
52708, -355, 112, 130, -892, -296, 15200
52718, -352, 120, 135, -860, -288, 15252
52728, -336, 134, 136, -832, -180, 15208
52738, -339, 120, 115, -880, -272, 15236
52748, -339, 118, 137, -804, -208, 15092
52758, -345, 106, 138, -860, -232, 15276
52768, -350, 108, 116, -816, -164, 15132
52778, -358, 122, 141, -896, -184, 15144
52788, -366, 111, 126, -856, -220, 15116
52798, -346, 110, 118, -864, -196, 15256
52808, -365, 139, 134, -928, -104, 15272
52818, -348, 123, 137, -828, -124, 15328
52828, -331, 136, 131, -716, -244, 15088
52838, -359, 121, 135, -784, -268, 15176
52848, -353, 149, 123, -948, -192, 15156
52858, -322, 133, 132, -888, -236, 15144
52868, -359, 143, 123, -896, -224, 15208
52878, -332, 154, 125, -760, -256, 15160
52888, -340, 110, 143, -776, -192, 15180
52898, -348, 127, 128, -852, -220, 15348
52908, -338, 122, 131, -868, -192, 15144
52918, -341, 111, 128, -848, -176, 15160
52928, -340, 139, 126, -888, -244, 15292
52938, -352, 146, 139, -772, -256, 15264
52948, -359, 130, 141, -888, -228, 15152
52958, -349, 135, 133, -900, -216, 14996
52968, -367, 128, 119, -888, -172, 15128
52978, -333, 125, 111, -780, -132, 14996
52988, -340, 123, 138, -952, -220, 15368
52998, -356, 122, 135, -828, -244, 15172
53008, -350, 135, 122, -912, -180, 15248
53018, -343, 125, 130, -808, -272, 15224
53028, -333, 128, 126, -884, -276, 15228
53038, -342, 137, 131, -928, -284, 15120
53048, -350, 117, 128, -836, -196, 15164
53058, -349, 101, 126, -868, -168, 15180
53068, -344, 110, 133, -904, -164, 15308
53078, -366, 115, 131, -884, -248, 15092
53088, -352, 139, 125, -868, -304, 15172
53098, -368, 124, 123, -836, -212, 15172
53108, -339, 104, 126, -868, -132, 15308
53118, -346, 114, 127, -840, -264, 15292
53128, -335, 107, 108, -844, -280, 15148
53138, -347, 106, 139, -808, -164, 15188
53148, -328, 126, 123, -944, -176, 15332
53158, -357, 120, 124, -780, -176, 15260
53168, -330, 115, 122, -872, -192, 15160
53178, -354, 115, 116, -876, -172, 15116
53188, -348, 114, 120, -788, -148, 15228
53198, -327, 127, 137, -828, -196, 15148
53208, -345, 127, 129, -876, -200, 15184
53218, -345, 112, 133, -888, -268, 15280
53228, -349, 114, 134, -840, -132, 15116
53238, -344, 119, 106, -804, -236, 15188
53248, -349, 117, 130, -924, -144, 15168
53258, -355, 116, 130, -860, -164, 15172
53268, -349, 123, 127, -780, -132, 15180
53278, -321, 133, 115, -900, -212, 15340
53288, -340, 117, 126, -840, -220, 15100
53298, -339, 120, 126, -960, -364, 15268
53308, -345, 113, 115, -820, -232, 15136
53318, -357, 137, 131, -880, -148, 15068
53328, -344, 122, 155, -880, -236, 15024
53338, -352, 134, 140, -804, -228, 15252
53348, -335, 118, 111, -884, -228, 15180
53358, -351, 121, 139, -740, -220, 15188
53368, -338, 125, 137, -852, -208, 15056
53378, -347, 116, 154, -808, -232, 15128
53388, -357, 127, 120, -864, -204, 15240
53398, -355, 110, 127, -876, -192, 15148
53408, -362, 111, 121, -896, -144, 15140
53418, -337, 138, 141, -892, -244, 15048
53428, -352, 121, 116, -896, -252, 15168
53438, -341, 143, 122, -828, -252, 15224
53448, -329, 126, 130, -812, -168, 15132
53458, -339, 123, 121, -828, -144, 15136
53468, -361, 131, 116, -812, -272, 15184
53478, -355, 136, 100, -844, -228, 15188
53488, -339, 131, 156, -884, -272, 15148
53498, -331, 139, 141, -804, -288, 15096
53508, -352, 140, 118, -936, -252, 15244
53518, -341, 132, 130, -924, -172, 15104
53528, -344, 134, 133, -816, -236, 15096
53538, -352, 159, 131, -808, -264, 15064
53548, -349, 133, 141, -876, -188, 15128
53558, -334, 133, 124, -860, -332, 15068
53568, -338, 127, 119, -928, -144, 15244
53578, -348, 141, 129, -824, -240, 15112
53588, -356, 149, 132, -952, -136, 15204
53598, -373, 110, 123, -796, -244, 15076
53608, -337, 153, 131, -760, -168, 15148
53618, -370, 130, 136, -940, -144, 15164
53628, -360, 122, 133, -880, -168, 14988
53638, -330, 118, 134, -832, -252, 15320
53648, -335, 134, 127, -928, -232, 15232
53658, -333, 113, 135, -772, -200, 15280
53668, -331, 134, 131, -964, -252, 15340
53678, -337, 123, 142, -860, -120, 15180
53688, -351, 176, 134, -864, -220, 15316
53698, -366, 162, 150, -792, -192, 15280
53708, -344, 123, 165, -732, -224, 15292
53718, -369, 155, 162, -752, -136, 15176
53728, -363, 130, 186, -860, -296, 15052
53738, -345, 108, 188, -912, -304, 15168
53748, -367, 137, 214, -880, -144, 15388
53758, -377, 117, 185, -800, -196, 15296
53768, -364, 137, 201, -844, -160, 15164
53778, -351, 98, 158, -864, -236, 15232
53788, -368, 193, 223, -752, -200, 15204
53798, -388, 160, 198, -792, -204, 15084
53808, -379, 123, 200, -912, -136, 15244
53818, -350, 145, 179, -780, -192, 15312
53828, -383, 113, 200, -960, -264, 15088
53838, -373, 127, 196, -736, -144, 15192
53848, -362, 87, 154, -868, -252, 15404
53858, -376, 73, 129, -868, -228, 15156
53868, -354, 89, 134, -840, -288, 15224
53878, -347, 99, 139, -852, -160, 15188
53888, -360, -2, 94, -960, -168, 15172
53898, -341, 78, 84, -892, -244, 15060
53908, -356, 53, 93, -936, -208, 15212
53918, -368, 26, 80, -1012, -276, 15232
53928, -390, 79, 35, -956, -308, 15208
53938, -371, 95, 40, -892, -160, 15276
53948, -374, 88, 5, -828, -128, 15136
53958, -391, 54, 4, -868, -172, 15296
53968, -378, 77, 5, -900, -216, 15284
53978, -376, 105, 17, -840, -252, 15168
53988, -343, 96, 42, -788, -196, 15176
53998, -366, 88, 62, -852, -216, 15156
54008, -360, 100, 36, -728, -232, 15180
54018, -374, 85, 71, -832, -220, 15180
54028, -353, 100, 62, -1012, -228, 15244
54038, -356, 144, 83, -724, -236, 15200
54048, -359, 118, 61, -852, -260, 15184
54058, -350, 134, 81, -832, -116, 15160
54068, -369, 93, 88, -848, -264, 15148
54078, -343, 92, 66, -844, -204, 15080
54088, -340, 100, 79, -896, -228, 15148
54098, -314, 112, 71, -828, -212, 15100
54108, -329, 134, 74, -816, -220, 15120
54118, -327, 122, 63, -872, -264, 15296
54128, -319, 117, 95, -844, -168, 15116
54138, -323, 109, 81, -852, -232, 15192
54148, -336, 110, 124, -848, -232, 15224
54158, -347, 126, 117, -828, -184, 15192
54168, -338, 117, 138, -892, -256, 15156
54178, -325, 123, 131, -748, -288, 15208
54188, -341, 120, 129, -856, -272, 15348
54198, -341, 119, 121, -864, -272, 15212
54208, -336, 148, 130, -796, -224, 15324
54218, -316, 151, 114, -912, -200, 15208
54228, -331, 127, 149, -804, -200, 15156
54238, -334, 118, 136, -928, -196, 15116
54248, -333, 116, 129, -956, -192, 15260
54258, -350, 113, 132, -900, -236, 15048
54268, -350, 136, 134, -816, -296, 15144
54278, -350, 110, 110, -824, -176, 15076
54288, -359, 128, 131, -832, -248, 15148
54298, -333, 133, 110, -812, -200, 15172
54308, -337, 117, 125, -796, -164, 15252
54318, -363, 119, 116, -892, -300, 15172
54328, -336, 88, 138, -880, -256, 15252
54338, -353, 109, 174, -852, -216, 14980
54348, -358, 111, 141, -824, -220, 15144
54358, -350, 137, 148, -848, -164, 15232
54368, -349, 127, 140, -912, -260, 15164
54378, -341, 135, 123, -912, -184, 15248
54388, -337, 140, 137, -856, -196, 15248
54398, -357, 138, 147, -812, -176, 15092
54408, -322, 145, 146, -808, -240, 15096
